,price,dlc_count,achievements,main_story,multi-language,has_voice_acting,extra_content_hours,independent,rpg,action,adventure,sim,casual,success
13,19.99,0,45,16.28,1.0,1.0,45.04,1.0,0.0,1.0,1.0,1.0,0.0,1.0
15,9.99,0,0,9.68,0.0,1.0,28.950000000000003,1.0,0.0,1.0,1.0,0.0,0.0,1.0
18,14.99,2,63,28.33,1.0,1.0,41.05,1.0,0.0,1.0,1.0,0.0,0.0,1.0
19,49.99,2,13,49.57,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
26,24.99,0,5,8.48,1.0,0.0,8.55,0.0,0.0,0.0,0.0,1.0,0.0,1.0
27,29.99,1,17,30.5,1.0,1.0,24.869999999999997,1.0,0.0,0.0,1.0,0.0,0.0,1.0
35,4.99,6,220,16.35,1.0,0.0,37.8,1.0,1.0,1.0,0.0,0.0,1.0,1.0
38,9.99,1,0,7.15,1.0,0.0,14.17,1.0,1.0,0.0,0.0,0.0,0.0,1.0
41,0.0,1,0,4.43,0.0,1.0,3.67,1.0,0.0,0.0,0.0,0.0,1.0,1.0
49,49.99,3,33,17.23,1.0,1.0,33.84,1.0,0.0,1.0,1.0,0.0,0.0,1.0
50,0.0,1,144,11.65,1.0,1.0,20.53,0.0,0.0,1.0,0.0,0.0,0.0,0.0
53,19.99,3,42,10.92,1.0,0.0,18.28,1.0,0.0,1.0,0.0,0.0,0.0,1.0
59,24.99,0,0,6.43,0.0,1.0,43.79,1.0,0.0,1.0,0.0,0.0,0.0,1.0
60,29.99,1,24,5.25,1.0,0.0,5.25,1.0,0.0,0.0,1.0,0.0,0.0,1.0
61,11.99,0,48,12.13,1.0,1.0,21.019999999999996,0.0,0.0,1.0,1.0,0.0,0.0,1.0
63,29.99,1,37,11.93,1.0,0.0,6.850000000000001,0.0,0.0,1.0,0.0,0.0,0.0,1.0
64,19.99,1,64,8.7,1.0,0.0,31.23,1.0,0.0,0.0,0.0,1.0,0.0,1.0
66,0.0,1,10,1.12,0.0,0.0,0.9099999999999997,1.0,0.0,0.0,1.0,0.0,0.0,1.0
67,0.0,8,100,4.93,1.0,0.0,26.59,1.0,0.0,1.0,1.0,1.0,1.0,1.0
69,19.99,5,57,14.5,1.0,0.0,26.08,1.0,0.0,1.0,1.0,1.0,0.0,1.0
72,19.99,0,50,15.28,1.0,1.0,12.72,1.0,0.0,1.0,1.0,0.0,0.0,1.0
75,1.99,11,1,3.48,1.0,1.0,2.39,1.0,1.0,0.0,1.0,0.0,0.0,0.0
76,0.0,0,30,14.83,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
80,29.99,5,80,11.75,1.0,1.0,19.13,0.0,0.0,1.0,0.0,0.0,0.0,1.0
81,19.99,1,32,8.58,1.0,0.0,31.340000000000003,1.0,0.0,1.0,1.0,0.0,0.0,1.0
82,29.99,3,68,16.07,1.0,1.0,26.380000000000003,0.0,0.0,1.0,0.0,0.0,0.0,1.0
85,4.99,0,44,16.32,1.0,1.0,21.25,0.0,0.0,1.0,1.0,0.0,0.0,1.0
87,19.99,0,0,27.37,1.0,0.0,26.98,1.0,0.0,1.0,1.0,1.0,0.0,1.0
89,29.99,4,27,13.05,1.0,0.0,17.48,1.0,0.0,1.0,0.0,1.0,0.0,1.0
92,0.0,3,0,0.97,1.0,1.0,1.43,1.0,0.0,1.0,1.0,0.0,0.0,1.0
96,19.99,1,14,5.28,1.0,1.0,7.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0
98,14.99,1,26,4.32,1.0,1.0,4.25,1.0,1.0,0.0,1.0,1.0,0.0,1.0
102,9.99,1,35,5.47,1.0,0.0,10.36,1.0,0.0,1.0,0.0,0.0,0.0,1.0
103,29.99,1,13,20.63,1.0,1.0,11.650000000000002,1.0,0.0,0.0,1.0,0.0,0.0,1.0
104,24.99,6,48,14.82,1.0,0.0,16.18,1.0,0.0,1.0,1.0,0.0,0.0,1.0
109,6.24,10,96,12.87,1.0,0.0,41.080000000000005,1.0,0.0,0.0,0.0,1.0,0.0,1.0
112,19.99,1,10,4.12,1.0,1.0,1.21,1.0,0.0,0.0,1.0,0.0,0.0,1.0
115,9.99,0,30,8.42,1.0,1.0,4.859999999999999,1.0,0.0,0.0,0.0,0.0,0.0,1.0
116,2.99,0,49,9.12,1.0,1.0,15.410000000000002,0.0,0.0,1.0,0.0,0.0,0.0,1.0
118,39.99,7,56,10.08,1.0,1.0,29.300000000000004,0.0,0.0,1.0,0.0,0.0,0.0,1.0
119,2.99,0,16,0.48,1.0,0.0,8.719999999999999,1.0,0.0,1.0,0.0,1.0,0.0,1.0
123,0.0,0,14,7.82,1.0,0.0,22.41,1.0,0.0,0.0,1.0,0.0,1.0,1.0
126,0.0,0,0,8.68,1.0,1.0,16.15,1.0,0.0,1.0,1.0,0.0,0.0,1.0
129,14.99,1,17,3.58,1.0,0.0,3.04,1.0,0.0,0.0,1.0,0.0,0.0,1.0
132,49.99,0,61,36.03,1.0,1.0,31.840000000000003,0.0,0.0,1.0,1.0,0.0,0.0,1.0
134,39.99,1,43,10.73,1.0,1.0,14.54,0.0,0.0,1.0,1.0,0.0,0.0,1.0
135,17.99,0,0,4.15,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
136,7.99,0,3,6.6,1.0,1.0,24.08,0.0,0.0,1.0,0.0,0.0,0.0,1.0
138,24.99,2,31,17.05,1.0,1.0,13.07,0.0,0.0,1.0,1.0,0.0,0.0,1.0
139,5.99,3,47,3.55,1.0,0.0,19.15,1.0,0.0,0.0,0.0,0.0,0.0,1.0
140,9.99,0,13,5.02,1.0,0.0,11.629999999999999,1.0,0.0,0.0,1.0,0.0,0.0,1.0
141,4.99,5,452,16.02,1.0,1.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,29.99,1,45,46.75,1.0,0.0,38.55,0.0,1.0,1.0,1.0,0.0,0.0,1.0
146,0.0,2,0,11.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
149,29.99,1,14,7.55,1.0,1.0,1.88,1.0,0.0,1.0,1.0,0.0,0.0,1.0
150,9.99,5,1,4.23,1.0,0.0,0.5199999999999996,1.0,1.0,0.0,1.0,0.0,0.0,1.0
